release_year,genre,region,sales
2006,Strategy,European Union,1.04
2007,Action,European Union,25.080000000000002
2007,Adventure,European Union,5.45
2007,Fighting,European Union,3.42
2007,Misc,European Union,20.62
2007,Platform,European Union,9.62
2007,Puzzle,European Union,8.67
2007,Racing,European Union,13.01
2007,Role-Playing,European Union,8.21
2007,Shooter,European Union,21.81
2007,Simulation,European Union,13.82
2007,Sports,European Union,26.3
2007,Strategy,European Union,1.81
2008,Action,European Union,38.68
2008,Adventure,European Union,5.55
2008,Fighting,European Union,6.99
2008,Misc,European Union,20.73
2008,Platform,European Union,10.52
2008,Puzzle,European Union,5.0
2008,Racing,European Union,23.99
2008,Role-Playing,European Union,10.9
2008,Shooter,European Union,16.05
2008,Simulation,European Union,11.9
2008,Sports,European Union,26.68
2008,Strategy,European Union,4.15
2009,Action,European Union,38.28
2009,Adventure,European Union,5.44
2009,Fighting,European Union,7.41
2009,Misc,European Union,20.18
2009,Platform,European Union,11.38
2009,Puzzle,European Union,5.4399999999999995
2009,Racing,European Union,12.879999999999999
2009,Role-Playing,European Union,8.08
2009,Shooter,European Union,20.85
2009,Simulation,European Union,11.51
2009,Sports,European Union,41.67
2009,Strategy,European Union,4.82
2010,Action,European Union,34.51
2010,Adventure,European Union,4.92
2010,Fighting,European Union,4.09
2010,Misc,European Union,26.37
2010,Platform,European Union,8.23
2010,Puzzle,European Union,3.02
2010,Racing,European Union,14.17
2010,Role-Playing,European Union,13.18
2010,Shooter,European Union,23.43
2010,Simulation,European Union,6.67
2010,Sports,European Union,28.36
2010,Strategy,European Union,4.47
2011,Action,European Union,39.78
2011,Adventure,European Union,4.5
2011,Fighting,European Union,5.45
2011,Misc,European Union,13.4
2011,Platform,European Union,8.66
2011,Puzzle,European Union,2.16
2011,Racing,European Union,13.29
2011,Role-Playing,European Union,13.77
2011,Shooter,European Union,34.55
2011,Simulation,European Union,5.17
2011,Sports,European Union,19.39
2011,Strategy,European Union,2.85
2012,Action,European Union,41.21
2012,Adventure,European Union,1.21
2012,Fighting,European Union,2.24
2012,Misc,European Union,6.28
2012,Platform,European Union,5.83
2012,Puzzle,European Union,0.4
2012,Racing,European Union,7.1000000000000005
2012,Role-Playing,European Union,11.56
2012,Shooter,European Union,25.61
2012,Simulation,European Union,3.63
2012,Sports,European Union,8.57
2012,Strategy,European Union,0.95
2013,Action,European Union,43.45
2013,Adventure,European Union,1.76
